tweet,hs_label,label
هالنوعيه انت تقتنع فيها بس غيرك اوعى من كذا 😷😷,NOT_HS,0.0
هزلت والله  الله يأخذ هالعينات بس 😷,NOT_HS,0.0
حي الرمال بالرياض م فيه ابراج اتصال اطلع من الحاره عشان اكلم 😠👊🏻,NOT_HS,0.0
منظمة تجسسيه بعنوان كاذب فشلت الحكومات في الدفاع عن حقوق المراه الانسان واتجهت بالدفاع للدفاع عن حقوق حقوق الحيوان 👎😂🤣😂,,1.0
خلاص ياناس ياشعب سعودي تافه وقفو هالتاق اقسم بالله خلاص كرهنا تويتر من تفاهاتكم واللي تسونه كل يوم والثاني رافعين علي تاق شي مايسوى شوي وموصلينه في الترند [UNK] بايعالكليجا,,1.0
يعععععععععع حالتكم مستعصية يالسعاودة 😷😷😷,HS1,1.0
مصرية شرموطة جوزها كان مسافر وكسها تعبان تغوي علي ابوه وتخليه يلحس كسها وينيكها معاه بعنفولا اروع لا يفوتكم 🙉 url url 🙉,,1.0
حزب الشيطان الاصلاح الارهابي الاخونجي الشمالي خاطف شرعيه عبدربه عبدربه منصور منصور يقول عن الامارات في شبوه وعدن وحضرموت بانها احتلال وانها تدعم الحوثي مليشيات ووقتها تقول السعوديه عن الامارات تحالف عندما تصد لهم صواريخ الحوثي صالح في مارب الاخونج اذا لم تنفعه افعالهم شوهه بسمعتك وكلنا الامارات معا يا عبيد قطراييل 🖕🏻 ء عمليةالسيفالحاسم,,1.0
يعنى انا تبقى قاعد هنا بتمتحن وتسمع ان النتيجة الاتنين متعلقة ببعض وتبقى بتموت واتوترت و ممنوع تطلع تبص على وتشوف والامتحان 4 ساعات وربع اصلا وادى وشى دا لو كنت عرفت ترسم خطين على بعض يا كلية عرة مفكيش ولا ذكرى حلوة كتك القرف بس 😷😷,,1.0
و المشكله مو ذااك الزوود و مو مرره مررة حلوووو 🙄 وبعدين ع ايش منهبلاات البنات فيه فيه اجمل بس ماستخفينا 😂 جد بس وين قليلين الحيااا عيييييب والله عييييب هذا اللي انتو تسووونه 😥😤 بايعالكليجا,,1.0
يع 🤮💔,NOT_HS,0.0
بايعالكليجافضحووونا بين العربان ذل واشغلوا الرجال عن رزقه مهزله وضحك وقلة حياء اعطوهم من متنفس وهاذي ب النهايه تقول غنم وفكوا الناس عنها الشبك يا همج 😷,,1.0
اعطل ايشي تقعد عند حد بكنكن 😷,NOT_HS,0.0
