,tweet,hs_label,label
12948, شكلها متفشله من خشتها عشان كذا تشوف اي بنت اجنبيه حلوه خليك واثقه من نفسك شوي ي بقره 😐👊🏻,NOT_HS,0.0
8782,url ويزعلو اذا حنا قلنا ضفادع 😪🐸,,3.0
563,#بايع_الكليجا قلة ادب يمكن متزوج طيب تقل ماعمرهن يشوفن واحد وسيم كميه تخلف مو طبيعيه 🌚👊🏻 !,NOT_HS,0.0
7279,  لقطه بارده بكل 😣 ,NOT_HS,0.0
3203, 👊🏻شايفتنهً؟,NOT_HS,0.0
14061,بعض البنات صدق عار وعوار وحاجه ترفع الضغط مستغله النقاب واهله وتلاحق الشباب وتحجر لهم حتى في الاصنصيرات ويجونك علينا بعدين ان اللي تكشف هي اللي فتنه وتبي تلفت ، خير والله ان بعض المنقبات هنا واللي ماعندها عباية راس انها ولا اخبث اخبث من الخبث تلقاها في العزايم في المولات ، وفي مستشفيات مستغله كل الفرص للاجانب 😡  بايع   الكليجا,,5.0
6384, اصيلة 🔪🔪🔪😒,NOT_HS,0.0
5124,عذرا سوريا ، جميعنا خونة لوطنك ، و كل ما بمقدورنا فعله الليلة هو الضغط على هذا الزر😡 الاقل تعبيرا عن الغضب. حلب  يا شام  url للعار  الغوطه  الشرقيه,,1.0
5776,سس ايات النككككااح بسسسهوله ، تبين لكك بششريه هالكككتااب.. 😂 وكلهاا ورا ظهر مصالح  الذككووووور.. 😂 والمفسسر😑😬😣مجنووون من بع  …,,2.0
1902,لن يهبط ملاك من عرش رب الكون اتى على ال بني سعود ليصححوا من مواقفهم وسياساتهم الهوجاءفلا وحي الله بعد وحي من سيدنا النبى محمد عليه افصل السلاملن تغير من موقف جبروتها وكبريايها على اشقايها وجيرانهاحجر اساس بناء مملكة من ال سعود هو صك بيع فلسطيين لليهودتدفع ملاليم لفلسطين العربية ومليارات لامريكا والصهيونية👎 hopeless case,,2.0
11681, اصلا كذا والا كذا الوضع طفره .. فاا بصور الشاشه واذا توظف وريته المنشن وعنه م اقتنع 😤,NOT_HS,0.0
171,الصدف قدر .. وبقالي يومين مشوفتش الصدفه 😣😣,NOT_HS,0.0
9808, مدري يمكن عشاني احب الرجل القوي / ياكرهي للرخمه الي بس يولول تقل حرمه 😤كل رجل ضعيف رخمه يأنفلني وعوووووووه بسسسس 😷,NOT_HS,0.0
78,هذا كله ف كوم وربيعتي تتوفى نفس اليوم كوم ثاني 😣,NOT_HS,0.0
3482,  🛑وضع اغلب #المدارس بكره في #نجران بيكون كذا ::👇🏻😷😷👇🏻#غبار X #غبار👇🏻😷😷👇🏻::#فريق_طقس_نجران #نجران #طقس_نجران #نجران_الا…,NOT_HS,0.0
5592,لعب مع الكبار يكبره لعب مع الصغار يصغره 😂😂😂😂😂😂👊 اعلان حضران يارمضان 💓 ,NOT_HS,0.0
11127,  افضح  معنفكالمفروض تتعنفون لانكم طلعتواجيل واحد فاسدفارغ ما يعرف ينفع نفسه مابالك باهلهانعدام حياءواخلاق نشوفهابالشارع والشوارع والمولاتالجيل الي قبلكم فيكم ربوه المدرسين عيالهم وربوه بالبيتاماانتم مافيه اسخف واجهل واغبى منكم مافيهجيل فاسدفارغ بكل م ماتعنيه الكلمةنحتاج تجنيداجباري شامل يعدل صور سلوككم وقصصكم وسواراتكم😠,,4.0
8767, لانهم حيوانات😡☹,NOT_HS,0.0
626,مايا  داليا  مبارك زنجيه اصلا هي مو بس المكياج ولا هو مضبطها ولاعلى اساس الطبيعه الله يستر 😷😷سعوديه و تتكلم كذا قدام امهات العالم ، على شنو نغار يارب نغار لا جمال ولاحياويقولو سعوديه تخسى عاد 🌚توصل بنات السعوديه 😍,,1.0
149,#بايع_الكليجاترا مو ذنبه انه وسيم ربي خلقه كذا الرجل مايبي تصوير جاي يترزق الله خلوه بحاله ياخي👊🏻,NOT_HS,0.0
7559,  مبببببباع 🐑🐑 #بايع_الكليجا,NOT_HS,0.0
3985, بايع  بيع الكليجاوالنعم فيه... فكرت اليوم ابيع كليجا.. لكن خايف علي الاسبانيات لا يخقونلاني اجمل منه. 😎 😎الله الله يعين اللي يشتهر وهو بين عشرة بنات... ايامه تعيسة. 😢 😣.,,1.0
9913, خلصوا شقراوات أمريكا؟ وجع 😷,NOT_HS,0.0
2214, لاوصيك ي السفاحه🔪,NOT_HS,0.0
