,tweet,off_label,label
3868, نعم كلام مئه بالمئه صحيح👌👌👌لان البعض عنده مشكلة في فهم من هم الذين يحبون الكويت بالحقيقه ومن هم كالافعى تختبئ تحت الشعارات لتلدغك لقتلك.المهم سلملي على كرامة وطن واكادمية التغيير😛😜اما المملكة والحوثي ومن يدعمه فعيالنا وعيال الخليج المخلصين بيدوسون على راسك انت معاهم😠😡😠,OFF,1.0
5569, بكم سامو السالفة 💩😂,NOT_OFF,0.0
1951, قسم بالله يفشلووون خلاص شوية حياء ياهووووه فضحتنا 👊🏽,OFF,1.0
1316,غميضة😠,NOT_OFF,0.0
10627,( ولف مع ولد شاة ) 🐑 المعروف عن ولد الشاة الذي فقد صوت امه انه يتبع من يرضعه 😒 ٠ هكذا بعض الناس بمجرد ان يشبع يفقد حليب الرضعه ( المصلحه ) فهو لايتبعك 😒 ٠,,1.0
8172,#بايع_الكليجا اوفر يابنات اعقلوا 😒👊🏻,NOT_OFF,0.0
9904,لان اني محاسب ومدقق حسابات والجماعة ضوجيني بهواية اكو شغلات تافهة من هالقبيل انوب طبعا انت الي تجي تتفلسف هسة 👊👊👊😂😂😂,,1.0
9284,ويزعلون لو احد انقال قال عنهم نويقصات 😷,,1.0
10191,يعنى كسم كلية الفليبيين واللى يقرب منها يلااا فى ايه 😠,,1.0
2016, اي والله جد😡,NOT_OFF,0.0
3758,مثل الخنازير، الله يلعنهم 🇮🇶🐷 ,OFF,1.0
9709,طيب خلوكم من ذا   بايع الكلي  الكليجا وشوفو هالحبيب دايم ينزل اصادفة بهاشتاقات والاحظه يكتب بكل خساسهمايدري انه لم يستهزء بعقيدته الغبي ,,1.0
8514,من يوم ما ربنا خلقهم عملاء يا جدع 🐃 ,OFF,1.0
329,  #MBCthevoiceهالمووسم ساااااااااااااااااااااامج بجداره mbc مستواها كل مالها في انحدار .. 👎🏻اللجنه ..... استغفرالله يارب 🤐يح…,OFF,1.0
8644,#صلاه_الجنازه_القادمه_انتالله ينكد عليك يا صاحب الهاشتاق .. من وين تطلع الاشكال هذه ؟! 😤,OFF,1.0
5287,  💩: ي غبيه هم لا يريدون حريه المرأه Me : ماذا يريدون؟ 💩: يريدون الوصول ...Me: ,OFF,1.0
3398, ديري بالج ع دوامجمو گاضيتها غياب 👊😂,NOT_OFF,0.0
3925, اه يا متناك اتزنق اللي شبهك بس اللي بيتزنقوا يا عرص انا متخلقش اللي يزنقني انا اللي بزنق بس 😂😂🖕,OFF,1.0
11402,من اسمك طلعت لقاح اتراك 😂 انبح اكثر يا تركي كلب النار انبح ,,1.0
10391,ايي صح والله فريق جديد واداره جديد جديده ماخربها الا دونيس هو 👊🏻,,1.0
8715, 🐸نفسه ي لطيف👊🏻,NOT_OFF,0.0
10594,ياليت تراعون غيركم الا لما تحطون عطر بمكان غير عامجالسة جنبي وحدة شكلها غاسلة نفسها بس بدهن العود وليت ريحته جدا حلوةمن جلست جنبي وانا اعطس طول ماخلصت المحاضرة احس جاتني معاها حساسية😡😡😡😡,,1.0
